SYMBOL,ID
RAP1GAP,402
WNT4,403
EPHA8,404
HNRNPR,405
LYPLA2,406
GALE,407
FUCA1,408
GRHL3,409
RCAN3,410
SRRM1,411
RUNX3,412
SYF2,413
LDLRAP1,414
PAFAH2,415
SLC30A2,416
PDIK1L,417
ZNF593,418
HMGN2,419
DHDDS,420
PIGV,421
ARID1A,422
GPN2,423
GPATCH3,424
TRNP1,425
SLC9A1,426
WDTC1,427
GPR3,428
FGR,429
FAM76A,430
RPA2,431
XKR8,432
DNAJC8,433
MED18,434
SESN2,435
SNHG12,436
TRNAU1AP,437
RNU11,438
YTHDF2,439
TMEM200B,440
MECR,441
SDC3,442
ZCCHC17,443
SERINC2,444
PEF1,445
COL16A1,446
TMEM39B,447
IQCC,448
TXLNA,449
BSDC1,450
MARCKSL1,451
ZBTB8B,452
RBBP4,453
YARS,454
HPCA,455
AK2,456
TRIM62,457
ZNF362,458
C1orf94,459
GJB3,460
GJA4,461
NCDN,462
PSMB2,463
CLSPN,464
ADPRHL2,465
TRAPPC3,466
OSCP1,467
LSM10,468
MRPS15,469
ZC3H12A,470
MEAF6,471
DNALI1,472
RSPO1,473
GNL2,474
CDCA8,475
C1orf109,476
MANEAL,477
EPHA10,478
MTF1,479
POU3F1,480
SF3A3,481
FHL3,482
MYCBP,483
AKIRIN1,484
KIAA0754,485
HEYL,486
HPCAL4,487
PPIE,488
NT5C1A,489
TRIT1,490
MFSD2A,491
CAP1,492
ZMPSTE24,493
SMAP2,494
COL9A2,495
ZNF684,496
CITED4,497
YBX1,498
PPIH,499
ZNF691,500
ERMAP,501
FAM183A,502
ELOVL1,503
CDC20,504
KDM4A,505
ARTN,506
B4GALT2,507
CCDC24,508
DPH2,509
ATP6V0B,510
DMAP1,511
TMEM53,512
PLK3,513
PTCH2,514
MUTYH,515
HPDL,516
MMACHC,517
PRDX1,518
AKR1A1,519
NASP,520
IPP,521
LRRC41,522
NSUN4,523
FAAH,524
ATPAF1,525
TAL1,526
STIL,527
FOXD2,528
BEND5,529
DMRTA2,530
CDKN2C,531
RNF11,532
TXNDC12,533
GPX7,534
ECHDC2,535
PODN,536
YIPF1,537
PARS2,538
TTC22,539
TTC4,540
DHCR24,541
PCSK9,542
TMEM61,543
TACSTD2,544
JUN,545
CYP2J2,546
L1TD1,547
FOXD3,548
ALG6,549
MIER1,550
DIRAS3,551
HHLA3,552
CTH,553
ACADM,554
USP33,555
FUBP1,556
SPATA1,557
CTBS,558
SSX2IP,559
MCOLN3,560
SYDE2,561
ZNHIT6,562
ODF2L,563
LMO4,564
GTF2B,565
BARHL2,566
ZNF644,567
CDC7,568
BRDT,569
C1orf146,570
GFI1,571
RPL5,572
DNTTIP2,573
ARHGAP29,574
F3,575
CNN3,576
ALG14,577
TMEM56,578
AGL,579
SLC35A3,580
DPH5,581
S1PR1,582
PRMT6,583
SLC25A24,584
FAM102B,585
PRPF38B,586
CLCC1,587
TMEM167B,588
TAF13,589
SCARNA2,590
PSRC1,591
CELSR2,592
PSMA5,593
SORT1,594
CYB561D1,595
AMIGO1,596
SYPL2,597
AMPD2,598
GSTM4,599
CSF1,600
AHCYL1,601
SLC6A17,602
KCNA3,603
WDR77,604
DDX20,605
WNT2B,606
PPM1J,607
FAM19A3,608
HIPK1,609
DCLRE1B,610
CSDE1,611
SIKE1,612
VANGL1,613
CD58,614
PTGFRN,615
TRIM45,616
TBX15,617
ZNF697,618
PIAS3,619
RBM8A,620
NUDT17,621
ACP6,622
HIST2H2AC,623
BOLA1,624
SF3B4,625
ANP32E,626
PLEKHO1,627
PRPF3,628
APH1A,629
ADAMTSL4,630
MCL1,631
ARNT,632
SETDB1,633
GABPB2,634
SEMA6C,635
CDC42SE1,636
C1orf56,637
PIP5K1A,638
CGN,639
TDRKH,640
OAZ3,641
THEM4,642
S100A10,643
S100A6,644
INTS3,645
SNAPIN,646
ILF2,647
NPR1,648
SLC27A3,649
SLC39A1,650
JTB,651
CRTC2,652
DENND4B,653
HAX1,654
UBE2Q1,655
ADAR,656
PMVK,657
ZBTB7B,658
SHC1,659
ADAM15,660
CKS1B,661
EFNA4,662
PYGO2,663
MUC1,664
EFNA1,665
TRIM46,666
DPM3,667
MIR92B,668
FDPS,669
FAM189B,670
RUSC1,671
HCN3,672
SCAMP3,673
CLK2,674
YY1AP1,675
MSTO2P,676
ARHGEF2,677
RXFP4,678
SSR2,679
SLC25A44,680
CCT3,681
RHBG,682
C1orf61,683
MEF2D,684
HDGF,685
CRABP2,686
NES,687
MRPL24,688
NTRK1,689
ARHGEF11,690
ETV3,691
AIM2,692
CADM3,693
DUSP23,694
TAGLN2,695
PIGM,696
PEX19,697
DCAF8,698
VANGL2,699
ITLN1,700
F11R,701
KLHDC9,702
TSTD1,703
PPOX,704
USP21,705
NDUFS2,706
B4GALT3,707
DEDD,708
SDHC,709
PCP4L1,710
HSPA6,711
HSPA7,712
DUSP12,713
OLFML2B,714
UHMK1,715
UAP1,716
HSD17B7,717
MGST3,718
TADA1,719
POGK,720
CREG1,721
MPZL1,722
GPR161,723
SFT2D2,724
SLC19A2,725
PIGC,726
ANKRD45,727
KLHL20,728
KIAA0040,729
C1orf220,730
TOR3A,731
NPHS2,732
FAM163A,733
QSOX1,734
STX6,735
KIAA1614,736
IER5,737
GLUL,738
RNF2,739
IVNS1ABP,740
RGS2,741
LHX9,742
C1orf53,743
ZNF281,744
DDX59,745
TMEM9,746
PKP1,747
PHLDA3,748
LAD1,749
TIMM17A,750
GPR37L1,751
UBE2T,752
KLHL12,753
RABIF,754
LOC148709,755
TMEM183A,756
BTG2,757
SNRPE,758
ETNK2,759
PPP1R15B,760
TMCC2,761
NUAK2,762
SLC45A3,763
SLC41A1,764
FAM72A,765
AVPR1B,766
IKBKE,767
DYRK3,768
MAPKAPK2,769
CD55,770
CR2,771
CD46,772
C1orf74,773
RCOR3,774
SLC30A1,775
NEK2,776
NENF,777
ATF3,778
TATDN3,779
ANGEL2,780
VASH2,781
SMYD2,782
TGFB2,783
SLC30A10,784
IARS2,785
02-Mar,786
C1orf115,787
HLX,788
TAF1A,789
TLR5,790
CAPN2,791
DEGS1,792
NVL,793
CNIH4,794
LBR,795
EPHX1,796
TMEM63A,797
PYCR2,798
H3F3A,799
MIXL1,800
PARP1,801
PSEN2,802
WNT9A,803
C1orf35,804
MRPL55,805
ARF1,806
GUK1,807
HIST3H2BB,808
HIST3H3,809
RNF187,810
RHOU,811
RAB4A,812
ACTA1,813
ABCB10,814
C1orf198,815
FAM89A,816
KCNK1,817
TARBP1,818
IRF2BP2,819
RBM34,820
ACTN2,821
FH,822
EXO1,823
HNRNPU,824
SCCPDH,825
ZNF695,826
ZNF669,827
C1orf229,828
TRIM58,829
ZNF672,830
SH3BP5L,831
ZNF692,832
PGBD2,833
SPATS2L,834
LTBP1,835
TMEFF2,836
SNTG2,837
ASAP2,838
HPCAL1,839
VSNL1,840
EHD3,841
CLIP4,842
TMEM214,843
CRIM1,844
PRKCE,845
CCDC88A,846
NAGK,847
CTNNA2,848
ATOH8,849
CD8A,850
TMEM131,851
ANKRD39,852
TGFBRAP1,853
TBC1D8,854
DPP10,855
SH3RF3,856
TTL,857
PTPN4,858
R3HDM1,859
TMEM163,860
NXPH2,861
GALNT13,862
COBLL1,863
STK39,864
OLA1,865
UBR3,866
ZNF385B,867
CERKL,868
PRKRA,869
ZSWIM2,870
HECW2,871
SATB2,872
NRP2,873
BMPR2,874
PARD3B,875
UNC80,876
SPAG16,877
ERBB4,878
IKZF2,879
XRCC5,880
TMBIM1,881
EPHA4,882
SGPP2,883
PNKD,884
TRIP12,885
NGEF,886
AGAP1,887
HDLBP,888
SH3BP4,889
HDAC4,890
COLEC11,891
MBOAT2,892
GRHL1,893
NOL10,894
ATP6V1C2,895
ROCK2,896
LPIN1,897
NBAS,898
KCNS3,899
WDR35,900
HS1BP3,901
APOB,902
KLHL29,903
CENPO,904
ITSN2,905
MFSD2B,906
DTNB,907
EFR3B,908
DNMT3A,909
ASXL2,910
DPYSL5,911
HADHB,912
